Date,SPY,NSEI,BVSP,IMOEX.ME,IBEX,MXX,XLE,XLF,XLI,XLK,XLV,XLB,XLU,XLRE,XLY,XLP,post_covid
3/1/2017,0.01470422,0.002114893,-0.023618325,-0.022289946,0.028532185,0.005752374,0.02011592,0.025277418,0.01398403,0.010794468,0.0248637,0.012467527,0.019880736,0.010977054,0.002636741,0.007251541,FALSE
3/2/2017,-0.006317191,-0.00516094,-0.017073071,-0.005291062,-0.003647108,-0.003784206,-0.00952179,-0.015572114,-0.010809213,-0.006614392,-0.003173671,-0.010758099,0.00718512,-0.003124206,-0.002407601,-0.000180561,FALSE
3/3/2017,0.000629139,-0.00024725,0.014038122,0.003843212,0.008455302,0.002659048,-0.00180444,0.004817103,0.001055828,0.002272913,0.003965993,-0.000759246,-0.003100839,-0.003133573,-0.001493014,-0.003801336,FALSE
3/6/2017,-0.002982223,0.007379283,-0.00668537,-0.004614596,0.000571313,0.009843282,0.002220075,-0.007638275,-0.002415181,-0.001514749,-0.003833246,-0.006477451,-0.001942987,-0.004088814,-0.003223445,-0.004361906,FALSE
3/7/2017,-0.002991289,-0.001848072,-0.009070117,-0.011089817,-0.000244766,-0.009746484,-0.008909709,-0.002828787,-0.002875957,0,-0.0070441,-0.00555823,-0.000583578,-0.003472558,-0.003234067,-0.001275729,FALSE
3/9/2017,-0.000590972,-0.002226755,-0.017755805,-0.025307159,0.019869259,-0.003279116,-0.019772221,0.004038874,-0.008066251,0.000946974,0.009425179,-0.003080012,-0.01667825,-0.027900146,0.003234067,-0.000547233,FALSE
3/10/2017,0.003498046,0.00084537,0.001392542,-0.000141851,0.000799808,-0.003425239,-0.001427133,-0.000806517,0.00609368,0.005285959,0.003823913,0.004616469,0.008275612,-0.000975938,0.001497732,0.004551511,FALSE
3/14/2017,-0.003329184,0.016919059,0.000371017,0.013730328,-0.010175191,-0.000304487,-0.011203867,-0.000403571,-0.010074991,-0.001319121,-0.004484985,-0.005773923,0.001960508,0,0.002415059,-0.00218229,FALSE
3/15/2017,0.00861638,-0.000242155,0.023463279,-0.004336702,0.007853963,0.008086905,0.022000748,-0.001615457,0.011288985,0.006764487,0.012481248,0.015893438,0.01593215,0.019023561,0.005269652,0.007436369,FALSE
3/16/2017,-0.001968984,0.007555525,-0.006847578,0.010871206,0.018341834,0.012274188,-0.007090153,0.001615457,-0.004561218,0.000561938,-0.009708888,-0.006862591,-0.011047737,-0.002238225,-0.000114004,0.001444536,FALSE
